name,"batterypack1,1","batterypack1,2","batterypack1,3","batterypack1,4","batterypack1,5","batterypack1,6","batterypack1,7","batterypack1,8","batterypack1,9","batterypack1,10","charger1,1","charger1,2","charger1,3","charger1,4","charger1,5","charger1,6","charger1,7","charger1,8","charger1,9","charger1,10","charger2,1","charger2,2","charger2,3","charger2,4","charger2,5","charger2,6","charger2,7","charger2,8","charger2,9","charger2,10","griptok1,1","griptok1,2","griptok1,3","griptok1,4","griptok1,5","griptok1,6","griptok1,7","griptok1,8","griptok1,9","griptok1,10","griptok2,1","griptok2,2","griptok2,3","griptok2,4","griptok2,5","griptok2,6","griptok2,7","griptok2,8","griptok2,9","griptok2,10","wallet1,1","wallet1,2","wallet1,3","wallet1,4","wallet1,5","wallet1,6","wallet1,7","wallet1,8","wallet1,9","wallet1,10","wallet2,1","wallet2,2","wallet2,3","wallet2,4","wallet2,5","wallet2,6","wallet2,7","wallet2,8","wallet2,9","wallet2,10","wallet3,1","wallet3,2","wallet3,3","wallet3,4","wallet3,5","wallet3,6","wallet3,7","wallet3,8","wallet3,9","wallet3,10","wallet4,1","wallet4,2","wallet4,3","wallet4,4","wallet4,5","wallet4,6","wallet4,7","wallet4,8","wallet4,9","wallet4,10","holder2,1","holder2,2","holder2,3","holder2,4","holder2,5","holder2,6","holder2,7","holder2,8","holder2,9","holder2,10","holder3,1","holder3,2","holder3,3","holder3,4","holder3,5","holder3,6","holder3,7","holder3,8","holder3,9","holder3,10","holder4,1","holder4,2","holder4,3","holder4,4","holder4,5","holder4,6","holder4,7","holder4,8","holder4,9","holder4,10"
1,462,379,403,284,297,316,298,345,375,617,1020,430,491,524,576,458,493,383,456,590,483,441,682,447,429,424,351,363,393,391,553,415,485,306,365,369,279,306,348,264,377,327,307,335,393,426,294,383,456,342,533,356,348,366,313,291,327,343,419,373,324,451,440,498,345,409,416,350,434,409,405,412,314,335,321,341,301,345,328,354,400,352,346,344,342,371,360,423,340,373,312,368,260,241,272,225,273,279,297,374,339,233,209,230,235,356,234,221,239,246,366,306,260,297,273,339,258,230,319,237
2,1044,815,850,616,669,642,692,730,730,988,1701,1095,1171,1136,1261,1048,1140,1044,1062,1291,1288,1055,1316,1017,979,963,952,956,1021,936,1063,1008,977,720,796,794,775,742,871,672,831,703,754,792,897,967,769,876,995,793,988,727,734,762,700,675,701,774,857,794,917,947,903,1007,785,815,847,824,910,831,896,823,819,756,672,789,709,689,749,729,960,867,849,816,804,840,838,884,830,901,617,690,565,502,564,520,584,618,590,803,735,600,547,500,491,693,537,554,532,552,775,715,620,710,556,705,620,557,676,556
3,1856,1344,1426,1136,1215,1154,1200,1181,1210,1485,2580,1897,1961,2007,1956,1798,2051,1795,1730,2206,2160,1941,1985,1750,1782,1653,1590,1682,1865,1619,1892,1572,1575,1349,1457,1347,1432,1403,1454,1331,1550,1332,1330,1428,1506,1585,1407,1542,1563,1441,1679,1262,1200,1323,1222,1181,1272,1266,1375,1433,1578,1540,1579,1678,1358,1332,1501,1405,1518,1489,1589,1397,1329,1254,1304,1443,1395,1235,1291,1269,1648,1607,1534,1402,1476,1436,1417,1568,1490,1552,1101,1182,1058,948,997,953,1055,1130,1180,1387,1192,1075,1002,969,952,1207,1052,968,969,1005,1256,1211,1092,1327,1054,1315,1107,922,1268,926
4,2539,1802,1856,1519,1585,1491,1596,1552,1588,1896,3293,2651,2614,2689,2593,2382,2755,2468,2337,2893,2836,2628,2596,2316,2450,2161,2233,2225,2489,2230,2510,1984,2023,1764,1882,1736,1902,1881,1875,1785,2087,1771,1828,1947,2013,2022,1905,2070,2060,1902,2218,1726,1606,1701,1629,1542,1651,1665,1806,1954,2034,1970,2099,2209,1804,1763,1984,1862,1981,1977,2149,1839,1797,1634,1788,1930,1881,1644,1753,1691,2328,2120,2015,1963,1919,1957,1890,2057,2131,2231,1436,1533,1400,1261,1374,1411,1418,1496,1521,1844,1551,1490,1345,1289,1268,1556,1410,1306,1305,1405,1688,1649,1489,1785,1394,1672,1463,1323,1656,1321
5,3413,2338,2419,2018,2061,2016,2122,2030,2096,2370,4178,3533,3375,3684,3363,3147,3567,3283,3129,3755,3790,3586,3430,3247,3241,2843,2909,2944,3182,2936,3194,2567,2674,2313,2565,2373,2571,2470,2404,2450,2846,2374,2483,2706,2687,2713,2580,2811,2675,2617,2742,2284,2104,2217,2102,2048,2130,2185,2370,2521,2734,2589,2807,2893,2346,2304,2712,2444,2622,2613,2804,2403,2322,2165,2447,2471,2536,2193,2308,2229,3070,2790,2618,2604,2522,2709,2502,2647,2799,3009,2076,2048,1869,1720,1843,1894,1912,1979,1985,2388,2006,1997,1758,1740,1715,2046,1863,1736,1754,1886,2201,2087,1956,2333,1839,2231,1966,1738,2119,1749
6,4047,2743,2914,2409,2426,2525,2537,2376,2449,2782,4898,4144,4059,4261,4031,3769,4305,3981,3769,4449,4445,4436,3993,3920,3899,3459,3431,3468,3895,3628,3671,3057,3153,2764,3086,2836,3022,2914,2868,2943,3347,2943,2993,3241,3187,3236,3020,3422,3204,3104,3155,2710,2608,2585,2546,2499,2537,2809,2813,2994,3212,3116,3350,3381,2770,2722,3264,2888,3110,3144,3407,2847,2715,2542,2874,2864,3007,2610,2758,2725,3655,3260,3085,3082,2982,3240,3028,3212,3372,3538,2462,2387,2189,2043,2199,2244,2237,2326,2317,2805,2333,2353,2079,2059,2031,2418,2203,2083,2095,2314,2720,2488,2392,2817,2164,2567,2312,2079,2553,2077
7,4693,3231,3463,2882,2944,3031,3029,2900,2969,3273,5827,4939,4896,5017,4835,4555,5143,4915,4485,5301,5148,5755,4755,4754,4691,4226,4334,4219,4797,4435,4338,3725,3782,3388,3779,3498,3703,3590,3453,3570,4091,3590,3734,4136,3810,4023,3630,4165,3909,3734,3753,3267,3199,3111,3126,3080,3049,3369,3358,3481,3761,3718,4045,4036,3350,3327,3912,3547,3775,3783,3962,3373,3293,3149,3553,3374,3556,3139,3278,3251,4335,3824,3634,3804,3629,3919,3733,3864,4059,4294,2957,2830,2674,2461,2642,2732,2689,2806,2761,3339,2834,2844,2553,2514,2427,2877,2655,2581,2528,2783,3246,2977,2907,3322,2647,3123,2751,2494,3016,2501
8,5262,3598,3878,3262,3321,3444,3407,3286,3341,3667,6578,5655,5508,5610,5508,5078,5869,5692,5090,5998,5736,6683,5370,5377,5260,4786,5046,4802,5361,5197,4931,4243,4238,3895,4371,3949,4194,4070,3941,4034,4534,4069,4563,4698,4289,4585,4049,4627,4373,4204,4156,3885,3696,3497,3604,3448,3433,3871,3799,3915,4298,4260,4594,4604,3750,3807,4549,4022,4338,4290,4484,3868,3772,3605,4056,3835,3993,3614,3735,3776,4931,4280,4095,4407,4110,4453,4413,4486,4615,5166,3339,3258,3045,2819,2983,3068,3010,3177,3061,4063,3168,3206,2877,2871,2703,3217,3018,2895,2863,3212,3708,3343,3287,3744,2978,3471,3173,2919,3402,2917
9,5908,4091,4399,3753,3824,4100,3967,3798,3866,4213,7357,6644,6292,6342,6204,5795,6639,6831,5834,6861,6589,7699,6195,6093,5979,5524,5823,5633,6064,6101,5683,4955,4841,4583,5119,4617,5006,4738,4595,4691,5237,4694,5389,5386,4959,5345,4697,5340,5031,5008,4787,4534,4279,4035,4182,3978,3951,4447,4368,4411,4982,4895,5327,5350,4372,4426,5298,4600,5045,5094,5129,4503,4352,4190,4650,4442,4601,4265,4322,4467,5672,4996,4679,5157,4768,5088,5100,5153,5307,5874,3894,3832,3515,3263,3469,3592,3505,3639,3580,4605,3627,3703,3374,3347,3179,3687,3434,3379,3322,3753,4159,3862,3759,4228,3428,4036,3615,3404,4001,3415
10,6445,4538,4898,4117,4298,4636,4371,4281,4288,4743,8047,7424,7007,7143,6902,6399,7361,7580,6440,7527,7278,8904,6984,6752,6541,6084,6382,6261,6604,6805,6244,5526,5396,5139,5646,5149,5542,5252,5128,5236,5727,5175,6075,5959,5481,5953,5225,5964,5537,5564,5268,4991,4851,4512,4664,4500,4415,5007,4835,4798,5477,5435,6003,6006,4877,4957,6010,5125,5697,5588,5692,5006,4960,4648,5104,4926,5077,4792,4779,4991,6322,5540,5268,5715,5309,5620,5659,5731,5865,6671,4286,4272,3889,3634,3825,3976,3825,3996,3940,5117,3957,4108,3753,3753,3491,4078,3840,3741,3664,4156,4556,4230,4167,4619,3811,4495,4074,3780,4405,3778
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,,
